date,trainNo,trainName,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,actual_platform_arrival,suggestions,actual_platform,incoming_line,outgoing_line,Remarks
2026-02-03,38702,Kharagpur - Howrah Local*,,03:05,16:03,,16:03,"1, 3, 4, 2, 6",7,HWH UP,,
2026-02-03,38702,Kharagpur - Howrah Local*,,03:05,16:03,16:03,16:03,"2A, 1A, 6, 2, 4, 3, 1",6,HWH MID,East Coast DOWN Joint,
