date,trainNo,trainName,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,actual_platform_arrival,suggestions,actual_platform,incoming_line,outgoing_line,Remarks
2026-01-12,12837,Howrah - Puri Superfast Express (PT),00:13,00:18,23:22,,23:22,"1, 5, 2, 6, 8, 7","1, 3",HWH MD,,unassigned
2026-01-12,13433,SMVT Bengaluru - Malda Town Amrit Bharat Express (PT),00:15,00:20,23:01,,23:01,"1, 5, 2, 6, 8, 7","2, 4",HWH UP,,unassigned
2026-01-12,18005,Samaleswari Express (PT),00:15,00:20,23:14,,23:14,,"2, 4",HWH MID,,unassigned
