date,trainNo,trainName,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,actual_platform_arrival,suggestions,actual_platform,incoming_line,outgoing_line
2025-12-31,12837,Howrah - Puri Superfast Express (PT),00:13,00:18,18:41,18:41,18:41,2,"1, 3",MDN DOWN Joint,TATA DN
2025-12-31,13433,SMVT Bengaluru - Malda Town Amrit Bharat Express (PT),00:15,00:20,,,,,,TATA MD,
2025-12-31,18086,Ranchi - Kharagpur MEMU Express (UnReserved)*,23:45,,,,,"1, 3",,TATA DN,
