date,trainNo,trainName,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,actual_platform_arrival,suggestions,actual_platform,incoming_line,outgoing_line
2025-12-29,12837,Howrah - Puri Superfast Express (PT),00:13,00:18,23:33,23:42,23:33,"4, 3, 1, 2","4, 2",HWH UP,HWH DN
2025-12-29,18043,,,,,23:33,,,,,ADRA Joint
2025-12-29,38819,,,,,23:35,,,,,
